,Rank,Player,MVP Shares
0,1.0,LeBron James,8.815
1,2.0,Michael Jordan*,8.115
2,3.0,Kareem Abdul-Jabbar*,6.105
3,4.0,Larry Bird*,5.612
4,5.0,Magic Johnson*,5.104
5,6.0,Bill Russell*,4.748
6,7.0,Shaquille O'Neal*,4.38
7,8.0,Karl Malone*,4.296
8,9.0,Tim Duncan*,4.278
9,10.0,Kobe Bryant*,4.202
10,11.0,Wilt Chamberlain*,4.152
11,12.0,James Harden,3.656
12,13.0,Julius Erving*,3.551
13,14.0,Giannis Antetokounmpo,3.511
14,15.0,Kevin Durant,3.21
15,16.0,David Robinson*,3.123
16,17.0,Moses Malone*,2.854
17,18.0,Mel Daniels*,2.795
18,19.0,Kevin Garnett*,2.753
19,20.0,Nikola Jokić,2.738
20,21.0,Bob Pettit*,2.671
21,22.0,Stephen Curry,2.664
22,23.0,Hakeem Olajuwon*,2.61
23,24.0,Oscar Robertson*,2.482
24,25.0,Charles Barkley*,2.437
25,26.0,Steve Nash*,2.429
26,27.0,Joel Embiid,2.254
27,28.0,Jerry West*,2.021
28,29.0,Rick Barry*,1.821
29,30.0,Connie Hawkins*,1.819
30,31.0,Dirk Nowitzki*,1.81
31,32.0,Chris Paul,1.805
32,33.0,Russell Westbrook,1.62
33,34.0,Elgin Baylor*,1.619
34,35.0,Allen Iverson*,1.567
35,36.0,Bob McAdoo*,1.494
36,37.0,Patrick Ewing*,1.424
37,38.0,Dave Cowens*,1.369
38,39.0,Larry Jones,1.295
39,40.0,Dwight Howard,1.249
40,41.0,Kawhi Leonard,1.16
41,42.0,Billy Cunningham*,1.081
42,43.0,Spencer Haywood*,1.079
43,44.0,Willis Reed*,1.048
44,45.0,Doug Moe,1.006
45,46.0,Derrick Rose,0.991
46,47.0,Alonzo Mourning*,0.968
47,48.0,Jason Kidd*,0.933
48,49.0,Artis Gilmore*,0.918
49,50.0,George Gervin*,0.905
50,51.0,Bob Cousy*,0.872
51,52.0,Tracy McGrady*,0.855
52,53.0,Dominique Wilkins*,0.845
53,54.0,Gary Payton*,0.823
54,55.0,Dwyane Wade*,0.793
55,56.0,Clyde Drexler*,0.778
56,57.0,Roger Brown*,0.778
57,58.0,Zelmo Beaty*,0.767
58,59.0,Dolph Schayes*,0.73
59,60.0,Scottie Pippen*,0.716
60,61.0,Sidney Moncrief*,0.695
61,62.0,Anthony Davis,0.68
62,63.0,Wes Unseld*,0.655
63,64.0,Bernard King*,0.625
64,65.0,Jimmy Jones,0.608
65,66.0,Chris Webber*,0.588
66,67.0,Charlie Scott*,0.582
67,68.0,Dan Issel*,0.576
68,69.0,Elvin Hayes*,0.572
69,70.0,Grant Hill*,0.529
70,71.0,Bob Lanier*,0.527
71,72.0,Bill Walton*,0.522
72,73.0,George McGinnis*,0.509
73,74.0,Paul Arizin*,0.493
74,75.0,Tiny Archibald*,0.476
75,76.0,Willie Somerset,0.455
76,77.0,Carmelo Anthony,0.453
77,78.0,Nate Thurmond*,0.437
78,79.0,Donnie Freeman,0.432
79,80.0,Jermaine O'Neal,0.425
80,81.0,Luka Dončić,0.396
81,82.0,George Yardley*,0.388
82,83.0,Tony Parker*,0.379
83,84.0,Paul George,0.379
84,85.0,Dave Bing*,0.378
85,86.0,Chauncey Billups,0.375
86,87.0,Larry Brown*,0.361
87,88.0,Blake Griffin,0.354
88,89.0,Damian Lillard,0.354
89,90.0,Anfernee Hardaway,0.341
90,91.0,Tim Hardaway*,0.336
91,92.0,Kevin McHale*,0.331
92,93.0,Jayson Tatum,0.324
93,94.0,Isiah Thomas*,0.317
94,95.0,Lenny Wilkens*,0.314
95,96.0,Louie Dampier*,0.31
96,97.0,John Havlicek*,0.293
97,98.0,Robert Parish*,0.286
98,99.0,Joakim Noah,0.258
99,100.0,Mack Calvin,0.255
